iter	Passed	Remaining
433	1391	1814
434	1393	1809
435	1395	1805
436	1397	1800
437	1400	1796
438	1402	1792
439	1405	1788
440	1407	1784
441	1409	1779
442	1412	1775
443	1414	1771
444	1417	1767
445	1420	1763
446	1422	1759
447	1424	1755
448	1427	1751
449	1429	1747
450	1431	1743
451	1434	1739
452	1436	1735
453	1439	1731
454	1441	1727
455	1444	1723
456	1446	1719
457	1449	1715
458	1451	1711
459	1454	1707
460	1456	1703
461	1459	1699
462	1461	1695
463	1464	1691
464	1466	1687
465	1469	1683
466	1471	1679
467	1474	1675
468	1476	1671
469	1479	1667
470	1481	1663
471	1483	1659
472	1485	1655
473	1488	1651
474	1490	1647
475	1493	1643
476	1499	1644
477	1504	1642
478	1509	1641
479	1514	1640
480	1518	1638
481	1522	1636
482	1526	1634
483	1530	1631
484	1532	1627
485	1535	1623
486	1538	1620
487	1541	1616
488	1544	1614
489	1548	1611
490	1553	1610
491	1556	1607
492	1559	1603
493	1561	1599
494	1564	1595
495	1567	1592
496	1569	1588
497	1571	1584
498	1574	1580
499	1576	1576
500	1579	1572
501	1581	1569
502	1584	1565
503	1586	1561
504	1588	1557
505	1591	1553
506	1593	1549
507	1596	1545
508	1598	1542
509	1601	1538
510	1603	1534
511	1605	1530
512	1608	1527
513	1610	1523
514	1613	1519
515	1616	1516
516	1618	1512
517	1621	1508
518	1623	1504
519	1626	1500
520	1628	1497
521	1631	1493
522	1633	1490
523	1636	1486
524	1638	1482
525	1641	1478
526	1643	1475
527	1646	1471
528	1648	1468
529	1651	1464
530	1653	1460
531	1656	1456
532	1658	1453
533	1661	1449
534	1663	1445
535	1666	1442
536	1668	1438
537	1671	1435
538	1673	1431
539	1676	1427
540	1678	1424
541	1681	1420
542	1683	1417
543	1686	1413
544	1688	1409
545	1690	1405
546	1693	1402
547	1695	1398
548	1698	1395
549	1701	1391
550	1703	1388
551	1705	1384
552	1708	1380
553	1710	1377
554	1712	1373
555	1715	1369
556	1717	1366
557	1720	1362
558	1722	1359
559	1725	1355
560	1727	1352
561	1730	1348
562	1732	1344
563	1735	1341
