iter	MultiClass
0	1.00301789
1	0.910019446
2	0.845197853
3	0.7828815012
4	0.7268017094
5	0.6701092065
6	0.6252964529
7	0.5846978158
8	0.5491884485
9	0.5165596132
10	0.4818833982
11	0.4521672058
12	0.4260867805
13	0.4057462979
14	0.3833275531
15	0.3654831702
16	0.3455351676
17	0.3271552259
18	0.3118037193
19	0.2977852042
20	0.2837011544
21	0.2732460291
22	0.2606557808
23	0.2509787083
24	0.2404927379
25	0.2300904316
26	0.2214632327
27	0.2124335618
28	0.2045495803
29	0.1963612662
30	0.1882671613
31	0.1812118251
32	0.1747543384
33	0.1694270296
34	0.1636875272
35	0.1592252013
36	0.1536902996
37	0.1490484898
38	0.1445954514
39	0.1400397404
40	0.1366640287
41	0.1332077512
42	0.1300752174
43	0.1262890881
44	0.1230243066
45	0.1187102542
46	0.1154627109
47	0.1123342182
48	0.1090558572
49	0.1066907622
50	0.1039743268
51	0.1014710151
52	0.09930740294
53	0.09662409118
54	0.09419837186
55	0.09257082437
56	0.09031972701
57	0.08830009904
58	0.0867725535
59	0.08413300661
60	0.08204821676
61	0.08037126199
62	0.07848076048
63	0.07726357018
64	0.07589819008
65	0.07401771495
66	0.07255612984
67	0.07133754826
68	0.07008996822
69	0.06898753562
70	0.06787000109
71	0.06662087383
72	0.0652858034
73	0.06389751769
74	0.06282884462
75	0.06170284259
76	0.06060865091
77	0.05971603864
78	0.05884161914
79	0.05801767236
80	0.05717706517
81	0.05619033407
82	0.05545308582
83	0.05471417264
84	0.05373526846
85	0.05277250826
86	0.0518688043
87	0.05093106471
88	0.05004950724
89	0.04941857027
90	0.04875957586
91	0.04803806434
92	0.04748993744
93	0.046561921
94	0.04601678361
95	0.04530186683
96	0.04486552383
97	0.04434593655
98	0.04376690005
99	0.04300889027
100	0.0424474721
101	0.041918232
102	0.04145103014
103	0.04085824313
104	0.04041648887
105	0.03982370894
106	0.03940880494
107	0.03874251375
108	0.03821962219
109	0.03779691056
110	0.0371766664
111	0.03673735116
112	0.03635407393
113	0.03594132777
114	0.03561229407
115	0.03531143288
116	0.03481242006
117	0.03448160002
118	0.03409495064
119	0.03374073534
120	0.0332496693
121	0.03296980451
122	0.03250579941
123	0.03201734741
124	0.03159815814
125	0.03121069662
126	0.03076125169
127	0.03044186708
128	0.03008280789
129	0.02984424602
130	0.02939657057
131	0.0289642635
132	0.02874432262
133	0.0284663326
134	0.02822369756
135	0.02796515858
136	0.02775384924
137	0.02752706227
138	0.02720202484
139	0.0270053753
140	0.0267835507
141	0.02655590406
142	0.02630046959
143	0.02612672497
144	0.02585868616
145	0.02561509855
146	0.02540952
147	0.02510531342
148	0.02487517531
149	0.02458326195
150	0.02439554674
151	0.02418177671
152	0.02398580053
153	0.02381171686
154	0.02356124291
155	0.02338767857
156	0.02323452155
157	0.02298489073
158	0.02280478862
159	0.02266765792
160	0.02241740623
161	0.02216685999
162	0.02194286191
163	0.02175009053
164	0.02159404901
165	0.0214415693
166	0.02125984661
167	0.02114489933
168	0.0209999774
169	0.02081931007
170	0.0206262254
171	0.02047803543
172	0.02023455056
173	0.02010186328
174	0.01994188909
175	0.01972633946
176	0.01959448901
177	0.01945958794
178	0.01932361737
179	0.01917957674
180	0.01905021921
181	0.01888367028
182	0.01873291385
